Date,Interval,Name,Open,High,Low,Close,Volume,Circuit
2015-05-08,D,Privi Speciality Chemicals Ord Shs,227.022568,237.719563,194.008099,223.213206,1241,0
2015-05-11,D,Privi Speciality Chemicals Ord Shs,230.678016,230.716494,223.174728,223.174728,407,0
2015-05-12,D,Privi Speciality Chemicals Ord Shs,223.328641,230.678016,223.174728,223.174728,23402,0
2015-05-13,D,Privi Speciality Chemicals Ord Shs,223.174728,227.022568,215.863831,227.022568,863,0
2015-05-14,D,Privi Speciality Chemicals Ord Shs,219.326887,227.022568,211.631207,222.751465,2503,0
2015-05-15,D,Privi Speciality Chemicals Ord Shs,237.56565,237.56565,219.326887,222.751465,782,0
2015-05-18,D,Privi Speciality Chemicals Ord Shs,217.018183,225.483432,212.593167,221.635592,315,0
2015-05-19,D,Privi Speciality Chemicals Ord Shs,215.632961,226.253,215.632961,217.787751,176,0
2015-05-20,D,Privi Speciality Chemicals Ord Shs,197.086371,225.483432,197.086371,224.175166,3441,0
2015-05-21,D,Privi Speciality Chemicals Ord Shs,219.326887,223.174728,215.709918,223.097771,181,0
2015-05-22,D,Privi Speciality Chemicals Ord Shs,217.056662,230.870408,217.056662,230.870408,3322,0
2015-05-25,D,Privi Speciality Chemicals Ord Shs,219.403844,225.52191,219.403844,225.483432,5562,0
2015-05-26,D,Privi Speciality Chemicals Ord Shs,218.634276,223.174728,218.634276,220.635153,513,0
2015-05-27,D,Privi Speciality Chemicals Ord Shs,215.479047,226.253,204.012484,226.253,1415,0
2015-05-28,D,Privi Speciality Chemicals Ord Shs,227.022568,227.022568,217.479924,226.945611,85,0
2015-05-29,D,Privi Speciality Chemicals Ord Shs,219.326887,223.713425,210.861639,223.713425,451,0
2015-06-01,D,Privi Speciality Chemicals Ord Shs,217.787751,224.713864,210.13055,223.867339,5703,0
2015-06-02,D,Privi Speciality Chemicals Ord Shs,221.597113,221.597113,215.479047,215.479047,8,0
2015-06-03,D,Privi Speciality Chemicals Ord Shs,217.018183,223.174728,210.746204,215.825353,6627,0
2015-06-04,D,Privi Speciality Chemicals Ord Shs,219.326887,222.40516,205.474663,209.39946,764,0
2015-06-05,D,Privi Speciality Chemicals Ord Shs,215.479047,218.557319,207.783367,208.360543,745,0
2015-06-08,D,Privi Speciality Chemicals Ord Shs,210.092071,215.479047,206.244231,209.553373,2067,0
2015-06-09,D,Privi Speciality Chemicals Ord Shs,208.629892,211.631207,208.4375,209.476417,572,0
2015-06-10,D,Privi Speciality Chemicals Ord Shs,207.783367,216.248615,207.783367,215.632961,1860,0
